insee	osm	geonames	wikidata	wikipedia	databnf	viaf	siaf	inha
01224	146614	2997297	Q648628	https://fr.wikipedia.org/wiki/Loyettes	ark:/12148/cb152429616		18363374	
01225	145529	2997081	Q840433	https://fr.wikipedia.org/wiki/Lurcy	ark:/12148/cb15242962j		18363509	
01226			Q55071482	https://fr.wikipedia.org/wiki/Luth%C3%A9zieu				
01227	146669				ark:/12148/cb152429647			
01228	142152	6424577	Q326806	https://fr.wikipedia.org/wiki/Maillat	ark:/12148/cb15242965k			
01229	139199	6424578	Q838743	https://fr.wikipedia.org/wiki/Malafretaz	ark:/12148/cb15242966x			
01230	138972	6424579	Q677790	https://fr.wikipedia.org/wiki/Mantenay-Montlin	ark:/12148/cb152429678			
01231	139162	6424580	Q363195	https://fr.wikipedia.org/wiki/Manziat	ark:/12148/cb15242968m			
01232	139007	6424581	Q274695	https://fr.wikipedia.org/wiki/Marboz	ark:/12148/cb15242969z			
01233	146625	6424582	Q542133	https://fr.wikipedia.org/wiki/Marchamp	ark:/12148/cb152429705			
01234	146666	6453504	Q840157	https://fr.wikipedia.org/wiki/Marignieu	ark:/12148/cb15242971h			
01235	145124	6424583	Q841608	https://fr.wikipedia.org/wiki/Marlieux	ark:/12148/cb15242972v			
01236	139172	6424584	Q533954	https://fr.wikipedia.org/wiki/Marsonnas	ark:/12148/cb152429736			
01237	26637	6424585	Q272356	https://fr.wikipedia.org/wiki/Martignat	ark:/12148/cb15242974j			
01238	147321	6424586	Q742517	https://fr.wikipedia.org/wiki/Massieux	ark:/12148/cb15242975w			
01239	146611	6612204	Q838682	https://fr.wikipedia.org/wiki/Massignieu-de-Rives	ark:/12148/cb152429767			
01240	139874				ark:/12148/cb15242977k			
01241	148914	2994733	Q782569	https://fr.wikipedia.org/wiki/Meillonnas	ark:/12148/cb15242978x	135027706	18348527	
01242	145528	2994388	Q839850	https://fr.wikipedia.org/wiki/M%C3%A9rignat	ark:/12148/cb152429798		18306704	
01243	145585	2994183	Q772337	https://fr.wikipedia.org/wiki/Messimy-sur-Sa%C3%B4ne	ark:/12148/cb15242980g		18303519	
01244	147338	2994094	Q243579	https://fr.wikipedia.org/wiki/Meximieux	ark:/12148/cb15242981t	135282473	18339919	
01245	140527				ark:/12148/cb152429825			
01246	140023	6424591	Q842791	https://fr.wikipedia.org/wiki/M%C3%A9z%C3%A9riat	ark:/12148/cb15242983h			
